Ultium EMG-BICEPS BR. RT,Ultium EMG-LAT. TRICEPS RT,Ultium EMG-MED. TRICEPS RT,Ultium EMG-BRACHIORAD. RT,Ultium EMG-FLEX.CARP.R RT,Ultium EMG-POST.DELTOID RT,Ultium EMG-MID DELT. RT,Ultium EMG-ANT.DELTOID RT,Ultium EMG-Ultium EMG.Sync
0.589036,4.493267,-3.641743,35.040162,-0.301534,-2.156341,2.129802,1.211626,0.000000
0.894230,3.577684,-3.336548,32.293412,-0.301534,-3.377119,0.909025,0.906432,0.000000
-0.631742,0.220545,-1.505382,27.410301,-2.132700,-4.292702,-0.616947,-0.314346,0.000000
-2.768103,-2.221010,1.851757,32.598606,-3.353478,-2.156341,-1.532530,-1.840318,0.000000
-3.378491,-3.136593,5.514090,44.806383,-2.132700,0.895603,-1.227336,-0.619540,0.000000
-3.073297,-1.915816,6.429673,48.468715,-0.301534,2.726769,-0.922142,1.516821,0.000000
-3.073297,-1.305427,3.988118,39.923272,0.614049,2.726769,-1.227336,2.432404,0.000000
-3.988880,-1.915816,1.851757,32.598606,0.919244,2.421575,-0.922142,0.601238,0.000000
-5.820047,-3.136593,2.462146,34.734967,1.529633,2.726769,-0.311753,-0.924734,0.000000
-7.346019,-3.441788,3.377729,34.734967,2.445216,2.116381,-0.006558,-0.924734,0.000000
-7.651213,-3.136593,2.767340,23.137580,2.140021,0.590409,-0.311753,-0.924734,0.000000
-7.651213,-3.441788,1.546562,10.929803,0.614049,-0.019980,-0.616947,-2.450707,0.000000
-7.651213,-4.662565,1.546562,10.014220,-1.217117,1.200797,-0.311753,-4.892262,0.000000
-7.651213,-4.357371,1.851757,12.455775,-2.743089,3.337158,0.298636,-5.197456,0.000000
-7.346019,-2.831399,0.936174,2.994749,-2.132700,3.947547,0.603830,-3.671484,0.000000
-6.125241,-1.305427,0.020590,-13.790944,-0.911923,3.031964,0.603830,-1.840318,0.000000
-5.209658,-1.915816,0.020590,-22.946776,-0.301534,1.200797,-0.006558,-0.619540,0.000000
-5.209658,-3.441788,1.241368,-23.251970,-1.217117,-0.019980,-0.616947,1.516821,0.000000
-5.820047,-4.052176,3.072534,-28.440275,-1.827506,-0.630369,-1.532530,4.263570,0.000000
-6.125241,-3.746982,2.767340,-40.037663,-0.606728,-0.935563,-1.837725,5.179154,0.000000
-5.820047,-2.526204,1.546562,-42.784412,0.614049,0.285214,-0.922142,2.737598,0.000000
-5.209658,-1.000232,0.936174,-32.102608,0.919244,2.116381,-0.006558,-0.009151,0.000000
-5.209658,0.220545,1.241368,-22.641582,0.003661,2.116381,-0.006558,-1.229929,0.000000
-5.514852,0.525740,0.936174,-28.135081,-1.217117,-0.019980,-0.006558,-1.840318,0.000000
-4.904463,-0.084649,-0.284604,-40.342857,-2.132700,-0.935563,-0.006558,-3.061095,0.000000
-3.073297,-0.084649,-1.505382,-43.699996,-3.963867,1.200797,0.603830,-3.976679,0.000000
-0.936936,1.136129,-1.200187,-37.290913,-6.405422,3.947547,0.298636,-1.840318,0.000000
0.283841,2.051712,-0.284604,-32.407803,-6.100228,3.642353,-0.616947,1.211626,0.000000
1.809814,2.051712,-0.284604,-32.102608,-2.437895,3.031964,-1.532530,2.432404,0.000000
3.640980,2.356906,-0.589798,-26.609109,1.834827,5.168325,-0.616947,0.601238,0.000000
5.166952,3.882878,-0.284604,-13.485749,4.276382,8.830658,0.909025,-0.619540,0.000000
4.861758,3.577684,0.020590,-4.024723,4.581577,8.830658,2.129802,-0.314346,0.000000
2.725397,0.525740,0.020590,-5.855889,4.276382,5.778714,1.519414,-0.009151,0.000000
0.589036,-1.915816,0.325785,-10.739000,4.581577,3.642353,-0.006558,-0.619540,0.000000
-0.021353,-1.000232,0.325785,-4.940306,5.191965,3.947547,-0.311753,-0.924734,0.000000
-0.021353,0.830934,-2.115771,9.098637,4.581577,3.337158,0.298636,-0.009151,0.000000
-0.326547,0.220545,-6.693687,17.949275,3.055605,2.421575,1.519414,-0.619540,0.000000
-0.631742,-3.746982,-7.304075,18.254469,0.308855,2.726769,2.740191,-2.755901,0.000000
-0.021353,-11.376842,-2.115771,20.085636,-3.048284,2.421575,3.350580,-3.671484,0.000000
1.199425,-24.500202,2.462146,29.546662,-6.710616,-0.325175,3.350580,-1.840318,0.000000
-0.021353,-42.811866,1.851757,35.955745,-8.846977,-1.851147,3.045386,-0.314346,0.000000
-2.462908,-59.597559,-1.810576,31.683023,-8.236589,2.116381,3.960969,-1.840318,0.000000
-3.683686,-68.448196,-4.862520,26.189524,-4.574256,8.525463,5.792135,-4.281873,0.000000
-3.073297,-69.363780,-7.914464,31.377829,1.224438,8.525463,6.402524,-4.281873,0.000000
-2.768103,-64.175475,-9.440436,42.364827,6.107549,3.031964,4.876552,-2.450707,0.000000
-2.462908,-51.357310,-5.472909,44.501188,6.717937,1.200797,2.740191,-2.145512,0.000000
-0.631742,-37.318367,2.462146,38.397300,3.360799,4.252741,2.740191,-3.366290,0.000000
2.420202,-33.045645,7.345256,35.650550,0.003661,4.557936,5.181747,-3.671484,0.000000
5.166952,-35.487200,7.650451,37.481717,-0.911923,-0.325175,7.012913,-3.061095,0.000000
7.303313,-20.227480,13.449144,32.598606,-1.522312,-3.071924,7.928496,-3.366290,0.000000
10.965646,21.278959,29.624448,18.864858,-3.353478,-0.935563,7.623302,-3.671484,0.000000
15.543562,60.649038,45.494557,9.709026,-5.489839,-3.987508,5.181747,-1.229929,0.000000
15.238367,73.162009,49.767279,12.455775,-4.269061,-18.026450,-0.922142,2.127210,0.000000
6.998118,84.149007,41.221835,14.592136,-0.911923,-34.506948,-10.077974,4.263570,0.000000
-3.988880,131.759335,18.637449,4.215526,0.614049,-41.526420,-18.318223,4.873959,0.000000
-10.397963,186.694328,-21.037824,-11.654583,0.003661,-39.390059,-21.980556,6.094737,0.000000
-10.397963,177.233302,-64.070235,-21.115609,-1.827506,-36.338115,-21.370167,8.231098,0.000000
-9.482380,99.103533,-78.414372,-24.777942,-3.658672,-35.422532,-19.233806,7.315515,0.000000
-11.618740,42.032179,-54.609209,-31.797414,-4.879450,-33.591365,-16.487056,1.211626,0.000000
-14.365490,71.330842,-24.700157,-39.427274,-4.574256,-29.318643,-13.740307,-5.502651,0.000000
-15.281073,133.285307,-20.122241,-39.732468,-1.522312,-22.299172,-11.603946,-8.554595,0.000000
-14.365490,130.843752,-27.446906,-33.018191,3.055605,-11.922562,-9.772779,-6.418234,0.000000
-13.755101,54.239955,-14.018352,-30.576636,7.328326,-0.935563,-8.857196,-0.924734,0.000000
-13.449907,-22.363841,18.942644,-35.154552,8.243910,4.252741,-9.162391,4.873959,0.000000
-10.397963,-49.526143,41.221835,-39.427274,6.717937,2.421575,-9.467585,7.925903,0.000000
-3.988880,-42.506672,41.527030,-38.206496,3.971188,0.285214,-8.246807,5.484348,0.000000
1.809814,-30.909284,36.949114,-34.849358,1.224438,4.863130,-3.668891,-0.314346,0.000000
3.946174,-24.805396,34.202364,-33.323386,-0.301534,12.798185,2.434997,-6.113039,0.000000
1.809814,-31.824868,17.111477,-30.271442,-0.911923,17.070907,7.012913,-7.944206,0.000000
0.283841,-56.850809,-18.901463,-22.946776,-0.301534,16.460518,8.538885,-4.892262,0.000000
1.504619,-78.214417,-50.946876,-14.401333,-0.911923,14.324157,8.538885,-0.314346,0.000000
2.420202,-66.617030,-56.745570,-8.907833,-2.132700,11.272213,8.538885,2.127210,0.000000
0.894230,-37.318367,-41.791044,-6.466278,-2.437895,6.999491,8.233691,2.127210,0.000000
-1.547325,-34.571617,-25.615740,-4.635111,-2.437895,6.083908,7.928496,0.296043,0.000000
-3.073297,-63.870280,-15.849519,-0.362390,-3.353478,11.882602,7.318107,-0.924734,0.000000
-3.988880,-84.623500,-7.609270,4.825915,-4.879450,19.512462,7.318107,-0.619540,0.000000
-4.294075,-79.130001,7.040062,9.403831,-4.269061,21.954017,8.233691,0.296043,0.000000
-1.852519,-80.045584,31.760809,13.371359,-1.827506,19.207267,9.454468,0.601238,0.000000
5.472146,-107.207886,58.312722,20.696024,0.003661,17.681295,10.980440,-0.009151,0.000000
14.322784,-130.707856,74.182831,29.851857,-0.606728,18.902073,11.896023,-0.924734,0.000000
17.679923,-121.552023,76.319192,34.124578,-1.827506,17.986490,10.980440,-0.924734,0.000000
12.491618,-97.136471,76.929581,29.546662,-1.217117,12.492990,8.233691,-0.009151,0.000000
3.640980,-79.130001,83.033469,25.884329,0.003661,6.999491,2.740191,-0.009151,0.000000
-2.157714,-53.798865,82.117886,34.124578,0.003661,5.168325,-3.668891,-0.619540,0.000000
-3.988880,-5.578148,61.364666,46.942743,-0.606728,5.473519,-7.941613,-0.619540,0.000000
-3.073297,39.895818,33.286781,47.858327,-0.911923,4.557936,-7.331224,-0.009151,0.000000
-0.021353,55.765927,18.027060,36.871328,-0.606728,0.285214,-3.668891,0.906432,0.000000
2.725397,61.564621,12.228367,31.377829,0.003661,-6.123868,-2.448114,0.906432,0.000000
3.640980,97.272367,-8.219659,37.176522,0.614049,-12.838145,-5.805252,0.296043,0.000000
0.894230,159.837221,-48.810515,36.566134,1.834827,-15.584895,-10.688363,0.601238,0.000000
-3.988880,207.142354,-91.537732,20.390830,2.750410,-12.838145,-12.824724,0.601238,0.000000
