Ultium EMG-BICEPS BR. RT,Ultium EMG-LAT. TRICEPS RT,Ultium EMG-MED. TRICEPS RT,Ultium EMG-BRACHIORAD. RT,Ultium EMG-FLEX.CARP.R RT,Ultium EMG-POST.DELTOID RT,Ultium EMG-MID DELT. RT,Ultium EMG-ANT.DELTOID RT,Ultium EMG-Ultium EMG.Sync
2.751020,2.729057,-1.528412,-0.930073,1.855265,2.180592,-2.715483,0.607643,0.000000
1.530243,3.644640,-2.749190,1.816677,1.244876,0.044231,-3.020677,-0.002745,0.000000
0.614659,3.034252,-2.749190,4.563427,-0.281096,1.875398,-2.410288,0.607643,0.000000
0.309465,1.203085,-2.443996,5.173815,-1.196679,3.706564,-0.884316,1.218032,0.000000
0.004271,0.287502,-3.664773,2.732260,-0.281096,0.654620,0.031267,0.912838,0.000000
0.004271,0.897891,-4.885551,-0.624878,1.855265,-5.144074,0.031267,1.218032,0.000000
0.004271,1.203085,-4.580356,-2.761239,2.770848,-8.806407,-2.105094,2.438810,0.000000
0.004271,0.592696,-4.275162,-2.456045,1.855265,-8.806407,-4.241455,2.744004,0.000000
-0.606118,-0.322887,-5.495940,-1.845656,0.634487,-7.585629,-4.851844,1.828421,0.000000
-1.826896,-0.322887,-6.411523,-1.845656,0.634487,-6.670046,-4.546649,0.607643,0.000000
-1.216507,-0.322887,-5.495940,-2.150850,0.329293,-4.838879,-4.241455,-0.002745,0.000000
-0.606118,-0.628081,-2.749190,-0.930073,0.024098,-2.092130,-3.936261,-0.002745,0.000000
-0.911313,-0.628081,-1.223218,1.206288,0.024098,-0.260963,-2.715483,-0.918329,0.000000
-0.911313,0.897891,-1.528412,2.121871,-0.281096,-0.260963,-1.189511,-1.528717,0.000000
3.361409,2.118668,-1.528412,0.901094,-1.501874,-1.176547,0.031267,-0.613134,0.000000
11.601658,0.897891,-0.307635,-0.930073,-3.333040,-2.702519,1.557239,0.302449,0.000000
17.400352,-1.238470,1.218337,-1.540462,-3.027846,-5.754463,2.472822,0.912838,0.000000
16.179574,-2.459248,2.133921,-1.235267,0.024098,-10.942768,3.083211,0.912838,0.000000
10.380880,-1.238470,1.523532,-0.319684,3.686431,-15.825878,3.083211,1.218032,0.000000
4.276992,-0.322887,0.913143,0.290705,4.602014,-17.351850,3.388405,1.218032,0.000000
-0.300924,-0.933276,0.913143,2.121871,3.991626,-15.215489,4.609183,0.607643,0.000000
-4.878840,-1.238470,1.218337,5.479010,3.686431,-12.468740,5.524766,-0.307940,0.000000
-8.846367,-0.933276,1.523532,7.920565,4.907209,-10.027184,6.440349,-0.613134,0.000000
-11.287922,-0.628081,1.218337,6.394593,5.212403,-8.196018,7.050738,-0.002745,0.000000
-13.119089,-0.933276,0.302754,0.290705,3.991626,-6.975240,7.355933,0.302449,0.000000
-14.950255,-0.933276,0.302754,-6.118378,1.855265,-6.670046,7.050738,-0.613134,0.000000
-15.865839,-0.322887,1.828726,-7.949544,-0.281096,-6.670046,6.440349,-1.223523,0.000000
-14.645061,-0.017692,3.049504,-4.897600,-3.638235,-6.059657,6.135155,-1.223523,0.000000
-10.982728,-0.017692,2.439115,-2.150850,-7.300567,-6.364851,6.135155,-1.223523,0.000000
-7.015201,0.897891,1.523532,-2.150850,-9.742123,-7.585629,5.829961,-1.833912,0.000000
-3.963257,1.508280,1.828726,-3.066434,-9.436928,-7.280435,4.914377,-2.444301,0.000000
-2.132090,1.203085,3.049504,-2.150850,-7.300567,-1.786935,3.998794,-2.139106,0.000000
-0.606118,0.592696,2.439115,-0.014489,-5.774595,4.927342,3.693600,-0.613134,0.000000
0.309465,0.897891,1.523532,2.427066,-5.164207,6.758508,3.083211,-0.002745,0.000000
1.530243,2.423863,1.828726,4.258232,-4.553818,2.790981,0.641656,-0.002745,0.000000
3.056215,3.034252,3.965087,5.173815,-3.638235,0.044231,-1.494705,-0.613134,0.000000
3.666603,1.813474,5.491059,4.258232,-3.027846,1.875398,-2.715483,-0.002745,0.000000
2.445826,0.592696,5.491059,1.511483,-3.333040,4.011758,-2.105094,1.523227,0.000000
1.225048,0.592696,5.491059,-0.930073,-3.638235,1.875398,-1.494705,2.744004,0.000000
1.530243,1.813474,6.101448,-1.540462,-3.943429,0.044231,-1.494705,2.133615,0.000000
3.056215,2.423863,5.491059,-0.624878,-3.943429,4.927342,-1.494705,0.607643,0.000000
3.971798,2.423863,3.354698,-0.014489,-4.553818,13.472785,-0.273928,-0.002745,0.000000
3.361409,2.423863,1.523532,-0.319684,-4.248623,16.829923,1.557239,-0.002745,0.000000
2.445826,2.118668,1.523532,-1.540462,-3.638235,11.641619,3.693600,-0.002745,0.000000
1.835437,1.203085,1.523532,-1.235267,-2.722651,4.011758,4.609183,-0.918329,0.000000
2.140631,-0.322887,-0.002440,-0.014489,-1.196679,-0.260963,4.609183,-1.223523,0.000000
2.140631,-1.238470,-1.528412,1.511483,0.634487,-2.702519,4.303989,-0.613134,0.000000
1.225048,-1.238470,-1.223218,1.511483,1.550070,-4.533685,3.998794,-0.002745,0.000000
0.309465,-0.933276,-0.002440,0.901094,1.244876,-5.449268,3.083211,-0.613134,0.000000
1.530243,-1.238470,-0.002440,2.121871,0.939682,-5.754463,1.862433,-1.528717,0.000000
6.108159,-2.459248,-0.918024,4.258232,1.244876,-6.059657,0.641656,-0.613134,0.000000
10.991269,-3.069637,-1.223218,3.647843,1.244876,-6.059657,-0.579122,0.912838,0.000000
12.822436,-2.764442,-0.307635,-0.319684,0.024098,-3.923296,-2.715483,2.133615,0.000000
11.296464,-1.543664,-0.307635,-4.592406,-1.196679,-0.871352,-5.157038,1.523227,0.000000
9.465297,-0.933276,-1.528412,-4.897600,-1.807068,-0.566158,-6.683010,0.607643,0.000000
8.549714,-0.628081,-2.138801,-2.761239,-0.891485,-4.228491,-7.903788,-0.002745,0.000000
6.718548,-0.628081,-1.223218,-1.235267,0.024098,-7.890824,-12.176510,-0.918329,0.000000
2.751020,-1.238470,-0.002440,-0.014489,0.329293,-9.111601,-20.721953,-1.833912,0.000000
-0.606118,-1.238470,-0.307635,2.121871,1.550070,-7.890824,-28.046619,-1.528717,0.000000
-2.437285,-0.628081,-0.918024,3.342649,3.076042,-6.059657,-27.741424,-0.002745,0.000000
-3.658062,0.287502,-0.612829,2.121871,2.770848,-3.923296,-19.501175,0.912838,0.000000
-7.015201,0.592696,-0.002440,0.290705,1.855265,-2.397324,-7.903788,0.912838,0.000000
-10.982728,-0.322887,-0.002440,-0.014489,0.939682,-0.260963,1.557239,-0.002745,0.000000
-12.508700,-1.238470,-0.612829,-0.014489,0.939682,2.485786,9.187099,-0.307940,0.000000
-11.287922,-0.628081,-2.138801,-1.540462,-0.281096,4.927342,16.511765,-0.613134,0.000000
-9.761950,0.287502,-3.969968,-2.761239,-2.417457,2.180592,22.920847,-0.613134,0.000000
-10.067145,0.592696,-4.580356,-2.150850,-3.333040,-5.144074,27.193569,-0.613134,0.000000
-10.982728,-0.017692,-3.969968,-1.845656,-1.196679,-12.163545,29.635124,-0.307940,0.000000
-11.287922,-0.017692,-3.054384,-3.371628,2.160459,-13.384323,29.940319,-0.002745,0.000000
-10.067145,0.897891,-3.359579,-4.592406,5.212403,-10.942768,29.024736,-0.307940,0.000000
-8.235978,0.592696,-4.580356,-2.150850,5.822792,-9.111601,27.803958,-0.918329,0.000000
-6.404812,-0.017692,-6.106328,0.901094,4.907209,-7.280435,27.193569,-0.613134,0.000000
-5.489229,-0.017692,-6.411523,1.511483,2.770848,-3.007713,26.583180,-0.307940,0.000000
-4.878840,1.508280,-5.801134,-0.014489,0.939682,0.959814,24.446819,-0.002745,0.000000
-3.352868,2.423863,-5.495940,0.290705,0.634487,1.570203,19.563709,0.607643,0.000000
-0.606118,2.118668,-5.190745,1.511483,0.634487,1.265009,12.239043,1.218032,0.000000
2.140631,1.813474,-4.885551,-0.014489,-0.586291,4.011758,2.778016,0.912838,0.000000
2.751020,2.118668,-3.969968,-3.676822,-3.027846,7.063702,-7.903788,-0.002745,0.000000
1.225048,1.813474,-3.359579,-4.592406,-3.943429,5.842925,-16.754426,-0.918329,0.000000
0.004271,-0.017692,-2.138801,-1.845656,-1.807068,2.485786,-19.501175,-1.528717,0.000000
0.309465,-1.238470,-1.223218,0.290705,0.939682,2.485786,-16.449231,-1.528717,0.000000
1.225048,-0.628081,-0.918024,0.595899,2.160459,3.706564,-12.481704,-0.918329,0.000000
1.225048,0.287502,-0.918024,1.206288,0.939682,1.570203,-10.345343,-0.613134,0.000000
0.309465,0.287502,-0.918024,2.732260,-0.281096,-2.092130,-10.345343,-0.307940,0.000000
0.614659,-0.322887,-0.918024,2.427066,-0.891485,-1.786935,-9.734954,-0.613134,0.000000
2.140631,-1.238470,-1.223218,0.290705,-0.586291,0.349425,-9.429760,-0.918329,0.000000
3.361409,-1.543664,-0.612829,-0.014489,-0.586291,-1.481741,-10.650537,-1.223523,0.000000
3.971798,-2.459248,-0.002440,2.427066,0.024098,-7.280435,-12.786898,-1.528717,0.000000
4.582187,-2.764442,-0.002440,3.647843,0.939682,-9.721990,-13.702482,-1.528717,0.000000
5.802964,-1.848859,-0.612829,1.206288,1.550070,-7.585629,-13.397287,-0.613134,0.000000
6.108159,-0.322887,-1.833607,-0.930073,0.634487,-6.975240,-12.176510,1.218032,0.000000
4.582187,-0.628081,-2.138801,-0.930073,-0.281096,-8.501212,-10.955732,2.744004,0.000000
2.751020,-1.848859,-2.138801,-0.319684,-0.281096,-6.364851,-8.208982,2.133615,0.000000
2.751020,-1.848859,-1.833607,-0.930073,0.329293,1.875398,-3.631066,0.302449,0.000000
3.666603,-0.322887,-1.528412,-1.235267,0.024098,8.894869,0.946850,-0.307940,0.000000
3.361409,0.287502,-0.612829,-0.624878,-1.501874,10.115647,3.998794,-0.002745,0.000000
1.835437,-0.017692,-0.612829,-0.014489,-2.417457,8.284480,4.609183,0.607643,0.000000
1.225048,-0.017692,-1.223218,-0.014489,-0.891485,7.063702,3.693600,0.302449,0.000000
1.835437,0.287502,-1.528412,-0.319684,0.939682,4.927342,3.998794,-0.002745,0.000000
2.140631,1.203085,-0.918024,-0.014489,0.939682,2.180592,7.050738,0.607643,0.000000
1.530243,1.813474,-1.223218,-0.014489,-0.281096,3.096175,10.102682,1.218032,0.000000
0.919854,1.813474,-2.749190,1.206288,-0.281096,6.453314,10.102682,0.607643,0.000000
1.835437,2.118668,-3.969968,5.173815,2.465654,5.842925,7.355933,-0.307940,0.000000
2.445826,2.118668,-3.969968,8.225760,4.907209,-0.566158,3.998794,-0.613134,0.000000
2.140631,0.897891,-2.749190,5.173815,3.686431,-5.754463,2.167628,-0.002745,0.000000
1.225048,-0.017692,-2.138801,-3.676822,0.329293,-3.007713,0.946850,-0.002745,0.000000
0.614659,-0.017692,-3.054384,-9.475516,-1.807068,2.790981,-0.884316,-0.918329,0.000000
1.225048,0.592696,-3.359579,-7.033961,-2.112263,5.537730,-1.494705,-1.833912,0.000000
1.835437,1.203085,-2.749190,-2.150850,-2.112263,5.537730,1.252044,-1.833912,0.000000
1.225048,0.592696,-2.138801,-1.845656,-2.417457,6.453314,6.135155,-1.528717,0.000000
0.614659,-0.017692,-2.138801,-3.982017,-2.112263,7.063702,8.881905,-0.613134,0.000000
0.614659,0.592696,-2.138801,-2.456045,-0.281096,4.622147,8.271516,0.302449,0.000000
1.225048,1.203085,-1.833607,2.732260,0.634487,2.485786,6.440349,0.607643,0.000000
