Ultium EMG-BICEPS BR. RT,Ultium EMG-LAT. TRICEPS RT,Ultium EMG-MED. TRICEPS RT,Ultium EMG-BRACHIORAD. RT,Ultium EMG-FLEX.CARP.R RT,Ultium EMG-POST.DELTOID RT,Ultium EMG-MID DELT. RT,Ultium EMG-ANT.DELTOID RT,Ultium EMG-Ultium EMG.Sync
-3.645098,3.971645,-10.998590,-3.874032,-1.216507,3.363239,-1.210254,-0.293603,0.000000
-4.560681,2.140479,-6.420674,-2.958449,-0.606118,1.532073,-2.125837,-0.598797,0.000000
-4.865876,-0.606271,6.397491,-4.179226,0.614659,-0.604288,-1.210254,0.011592,0.000000
-4.255487,-3.047826,18.300073,-6.010393,0.614659,-2.740649,-0.294670,2.453147,0.000000
-4.255487,-4.573798,22.877989,-5.705198,-0.606118,-5.182204,-1.820643,5.810285,0.000000
-5.171070,-5.794576,21.352017,-2.348060,-2.437285,-7.318565,-4.262198,7.031063,0.000000
-6.086653,-5.794576,19.215656,0.093495,-3.658062,-7.928954,-4.262198,5.505091,0.000000
-4.865876,-3.963409,18.605267,0.093495,-4.573646,-5.792593,-2.125837,3.673924,0.000000
-3.034709,-3.353020,16.774101,-2.348060,-3.658062,-3.351038,-0.905059,2.758341,0.000000
-3.339904,-5.794576,10.975407,-5.705198,-1.216507,-2.130260,-1.515448,2.147952,0.000000
-5.476264,-8.236131,2.735158,-8.146754,0.919854,-2.435454,-1.820643,0.316786,0.000000
-6.391848,-8.541325,-5.505091,-9.062337,1.530243,-2.130260,0.010524,-1.209186,0.000000
-4.865876,-8.541325,-10.998590,-7.841559,0.919854,0.006101,1.536496,-2.124769,0.000000
-3.034709,-8.846520,-11.303785,-5.400004,0.919854,2.142462,1.231302,-1.819575,0.000000
-3.339904,-7.930937,-8.557035,-3.263643,1.225048,3.973628,0.315718,-1.514380,0.000000
-4.560681,-7.015353,-7.946646,-1.127282,0.004271,4.584017,0.620913,-2.124769,0.000000
-4.560681,-8.541325,-10.998590,1.009079,-2.132090,3.668434,1.536496,-3.345547,0.000000
-3.339904,-7.930937,-13.440146,3.145439,-3.658062,1.532073,0.926107,-3.040352,0.000000
-1.508737,2.750868,-11.914173,3.755828,-3.047673,-0.299094,-0.294670,-0.903992,0.000000
0.627624,18.620977,-10.388201,2.535051,-2.742479,-0.604288,-1.210254,0.927175,0.000000
3.069179,23.198893,-13.440146,1.619467,-3.352868,0.616490,-0.294670,1.232369,0.000000
4.595151,16.484616,-17.407673,1.314273,-3.352868,2.142462,0.926107,-0.293603,0.000000
3.679568,18.315783,-12.219368,1.924662,-1.521701,3.058045,2.146885,-2.124769,0.000000
1.848401,36.932641,3.345547,1.924662,0.004271,3.363239,2.757274,-1.819575,0.000000
0.017235,49.445612,19.520851,2.229856,0.309465,3.668434,2.757274,-0.598797,0.000000
-1.508737,31.744336,25.929933,1.924662,0.004271,3.363239,1.536496,0.011592,0.000000
-2.729515,-4.573798,24.098767,0.703884,0.614659,2.752851,0.010524,0.011592,0.000000
-2.119126,-29.904934,19.826045,-0.211699,1.835437,2.447656,-0.599865,0.011592,0.000000
0.322429,-31.736100,13.722157,-0.211699,1.530243,2.447656,0.010524,-0.598797,0.000000
3.374373,-24.716629,6.397491,0.703884,0.309465,2.752851,0.926107,-1.514380,0.000000
4.595151,-20.138713,1.514380,1.314273,0.309465,3.363239,0.620913,-2.735158,0.000000
4.595151,-13.424436,2.735158,1.009079,1.835437,5.194406,0.926107,-3.955936,0.000000
4.289957,-2.132243,5.481908,1.619467,3.056215,7.635961,2.452079,-3.955936,0.000000
3.679568,6.108006,4.871519,2.840245,2.445826,8.551544,3.978051,-2.124769,0.000000
2.458790,4.887229,2.429964,2.840245,0.919854,7.330767,3.672857,0.316786,0.000000
0.627624,-1.216660,3.040352,1.314273,0.004271,5.194406,1.231302,2.147952,0.000000
0.017235,-4.878992,4.261130,0.703884,0.004271,3.058045,0.010524,2.147952,0.000000
0.017235,-4.573798,-0.011592,1.009079,0.614659,0.616490,0.010524,0.927175,0.000000
0.017235,-1.827048,-10.388201,0.703884,0.614659,-1.519871,0.620913,0.316786,0.000000
0.322429,3.361257,-18.933645,-1.432477,0.614659,-2.435454,0.315718,0.316786,0.000000
1.238012,9.770339,-21.680395,-3.568838,0.919854,-0.604288,-0.905059,0.316786,0.000000
2.458790,12.822283,-20.764811,-3.263643,0.919854,0.006101,-1.820643,-0.293603,0.000000
3.069179,10.380728,-18.323256,-2.042866,0.004271,-2.740649,-2.431031,-0.598797,0.000000
3.069179,4.582034,-12.524562,-1.737671,-1.216507,-7.318565,-2.736226,0.011592,0.000000
2.458790,-0.606271,-2.147952,-2.042866,-2.132090,-9.149731,-2.736226,0.316786,0.000000
1.848401,-4.573798,7.923463,-1.432477,-1.521701,-7.623759,-2.125837,0.927175,0.000000
1.238012,-7.930937,13.416962,-0.516893,-0.300924,-5.182204,-1.820643,0.927175,0.000000
0.932818,-9.762103,13.111768,-0.822088,0.004271,-4.571815,-1.515448,1.232369,0.000000
0.932818,-8.846520,10.670213,-2.042866,-0.911313,-4.571815,-0.294670,0.621980,0.000000
1.238012,-6.404964,7.923463,-2.653254,-1.521701,-3.045843,1.536496,0.011592,0.000000
1.848401,-4.878992,5.176713,-2.958449,-0.300924,-0.604288,3.062468,-0.293603,0.000000
1.848401,-4.878992,3.955936,-4.484421,1.530243,0.616490,2.452079,-0.293603,0.000000
1.543207,-5.794576,4.261130,-6.925976,2.751020,1.532073,1.231302,-0.903992,0.000000
1.543207,-5.489381,4.261130,-7.841559,2.140631,2.752851,0.926107,-1.514380,0.000000
1.543207,-4.268604,0.598797,-6.010393,0.004271,3.973628,2.146885,-1.514380,0.000000
0.932818,-3.658215,-5.199897,-2.958449,-2.437285,4.584017,3.062468,-1.514380,0.000000
0.017235,-3.047826,-10.693396,-0.211699,-3.963257,4.584017,3.978051,-2.124769,0.000000
-0.287960,-1.521854,-10.998590,1.009079,-3.047673,5.194406,5.504023,-3.040352,0.000000
0.322429,0.614507,-7.031063,1.314273,-0.911313,5.804795,6.114412,-2.429964,0.000000
1.848401,3.056062,-2.453147,0.398690,1.225048,5.194406,4.588440,-1.209186,0.000000
2.458790,3.361257,-1.537564,0.093495,2.751020,3.973628,1.841690,-0.598797,0.000000
1.848401,1.835285,-4.284313,1.924662,2.445826,3.058045,0.926107,-1.209186,0.000000
1.848401,-0.301076,-8.251841,5.281800,0.919854,3.668434,2.757274,-1.514380,0.000000
2.458790,-0.606271,-9.472618,6.502578,-0.606118,4.278823,4.283246,0.011592,0.000000
3.069179,0.614507,-5.505091,4.366217,-0.300924,4.584017,3.978051,2.147952,0.000000
2.458790,1.224896,2.124769,1.619467,1.835437,4.584017,2.757274,2.758341,0.000000
0.932818,-1.827048,9.754629,0.093495,4.887381,4.889211,1.841690,1.842758,0.000000
0.017235,-8.541325,12.196185,-0.211699,4.887381,4.278823,0.926107,0.927175,0.000000
-0.593154,-12.203658,7.618269,-0.822088,2.445826,3.363239,-0.294670,0.621980,0.000000
-1.203543,-10.982881,1.514380,-0.516893,0.919854,3.363239,-1.210254,0.316786,0.000000
-1.813932,-9.456909,0.598797,0.398690,1.225048,4.584017,-1.210254,-0.293603,0.000000
-1.813932,-11.288075,3.955936,2.229856,1.835437,4.584017,-0.905059,-1.819575,0.000000
0.017235,-11.288075,2.429964,2.840245,1.225048,2.447656,-0.905059,-1.819575,0.000000
1.543207,-4.268604,-8.557035,3.145439,0.309465,0.006101,-0.905059,-0.293603,0.000000
1.848401,3.056062,-21.070006,4.366217,0.309465,-1.214677,-0.294670,0.927175,0.000000
0.932818,3.056062,-24.121950,4.976606,0.614659,-1.214677,-0.294670,0.927175,0.000000
0.017235,-2.437437,-17.407673,2.229856,0.919854,-1.214677,-0.905059,-0.293603,0.000000
0.627624,-3.963409,-10.693396,-3.263643,1.835437,-1.214677,-1.210254,-1.819575,0.000000
1.543207,-0.301076,-7.946646,-7.841559,3.971798,-1.214677,-0.294670,-1.514380,0.000000
1.543207,1.835285,-5.199897,-7.841559,6.108159,-2.130260,0.010524,0.011592,0.000000
0.322429,4.582034,-1.537564,-4.484421,6.108159,-4.571815,-0.599865,2.147952,0.000000
0.017235,18.315783,-2.758341,-1.127282,3.361409,-5.487399,-1.820643,2.758341,0.000000
0.322429,41.510558,-11.303785,0.093495,0.309465,-2.740649,-1.515448,0.927175,0.000000
0.627624,55.854695,-18.628450,0.703884,-0.606118,0.921684,0.010524,-1.209186,0.000000
-0.287960,47.614446,-15.881701,0.398690,-0.606118,1.532073,0.620913,-2.124769,0.000000
-1.203543,25.640448,-5.505091,-1.127282,0.004271,-0.604288,0.010524,-0.903992,0.000000
-1.203543,9.770339,1.514380,-2.653254,0.309465,-2.130260,0.010524,0.316786,0.000000
-0.898348,5.802812,3.345547,-2.653254,0.004271,-0.909482,1.231302,0.011592,0.000000
-1.813932,4.276840,5.481908,-1.432477,-0.911313,0.311295,2.146885,0.011592,0.000000
-3.034709,-4.573798,11.585796,-1.432477,-1.216507,0.311295,1.536496,1.537564,0.000000
-2.729515,-16.476380,17.994878,-3.568838,-0.300924,0.006101,0.010524,2.758341,0.000000
-1.203543,-19.223130,19.826045,-5.705198,0.919854,0.006101,0.010524,1.537564,0.000000
0.017235,-7.320548,16.163712,-5.705198,2.140631,0.006101,1.231302,-0.903992,0.000000
0.322429,10.075534,9.144241,-2.958449,2.140631,-0.604288,2.146885,-1.819575,0.000000
0.017235,17.095005,0.598797,-0.211699,1.225048,-1.214677,1.536496,-0.903992,0.000000
-0.593154,6.718395,-7.336257,-0.822088,0.309465,-1.214677,0.010524,-0.903992,0.000000
-1.203543,-9.456909,-13.134951,-4.179226,0.004271,-2.130260,-1.515448,-1.209186,0.000000
-1.508737,-16.171186,-15.271312,-5.705198,0.919854,-3.045843,-2.125837,0.316786,0.000000
-1.813932,-12.203658,-14.355729,-3.874032,2.140631,-2.740649,-1.515448,4.284313,0.000000
-1.203543,-7.320548,-11.303785,-0.211699,2.445826,-0.604288,-0.294670,6.420674,0.000000
0.017235,-5.489381,-7.031063,1.924662,0.309465,0.006101,0.010524,4.284313,0.000000
1.543207,-3.353020,-2.147952,2.535051,-1.521701,-0.604288,-0.599865,0.316786,0.000000
1.848401,-0.606271,3.955936,2.535051,-1.826896,-2.130260,-1.210254,-1.514380,0.000000
1.543207,-1.521854,10.670213,2.535051,0.004271,-1.214677,-0.599865,-2.124769,0.000000
2.153596,-5.184187,14.332546,1.924662,1.225048,0.616490,0.926107,-2.124769,0.000000
4.595151,-5.184187,12.196185,1.009079,0.919854,2.142462,2.452079,-1.209186,0.000000
6.731512,-0.911465,7.007880,1.619467,-0.300924,2.447656,2.757274,-0.598797,0.000000
6.426317,0.004118,4.566325,3.145439,-1.216507,1.226878,1.841690,0.011592,0.000000
4.595151,-4.878992,6.702685,3.450634,-0.911313,0.006101,0.315718,0.011592,0.000000
4.289957,-10.372492,10.975407,2.229856,0.004271,-1.519871,0.010524,0.927175,0.000000
5.815929,-11.288075,14.332546,1.924662,0.309465,-2.740649,0.315718,1.232369,0.000000
6.121123,-9.762103,16.774101,1.619467,0.309465,-3.656232,0.926107,0.011592,0.000000
3.679568,-10.067297,16.774101,-0.211699,0.309465,-4.266621,0.010524,-1.819575,0.000000
1.543207,-12.508853,13.111768,-2.042866,-0.300924,-4.266621,-1.820643,-2.124769,0.000000
1.848401,-15.255602,6.702685,-0.516893,-1.521701,-3.045843,-2.125837,-1.514380,0.000000
